"","v_names","v_label"
"1222","hv128_14","na - education in single years - previous school year"
"1223","hv128_15","na - education in single years - previous school year"
"1224","hv128_16","na - education in single years - previous school year"
"1225","hv128_17","na - education in single years - previous school year"
"1226","hv128_18","na - education in single years - previous school year"
"1227","hv128_19","na - education in single years - previous school year"
"1228","hv128_20","na - education in single years - previous school year"
"1229","hv128_21","na - education in single years - previous school year"
"1230","hv128_22","na - education in single years - previous school year"
"1231","hv128_23","na - education in single years - previous school year"
"1232","hv128_24","na - education in single years - previous school year"
"1233","hv128_25","na - education in single years - previous school year"
"1234","hv128_26","na - education in single years - previous school year"
"1235","hv128_27","na - education in single years - previous school year"
"1236","hv128_28","na - education in single years - previous school year"
"1237","hv128_29","na - education in single years - previous school year"
"1238","hv128_30","na - education in single years - previous school year"
"1239","hv128_31","na - education in single years - previous school year"
"1240","hv128_32","na - education in single years - previous school year"
"1241","hv128_33","na - education in single years - previous school year"
"1242","hv128_34","na - education in single years - previous school year"
"1243","hv128_35","na - education in single years - previous school year"
"1244","hv129_01","na - school attendance status"
"1245","hv129_02","na - school attendance status"
"1246","hv129_03","na - school attendance status"
"1247","hv129_04","na - school attendance status"
"1248","hv129_05","na - school attendance status"
"1249","hv129_06","na - school attendance status"
"1250","hv129_07","na - school attendance status"
"1251","hv129_08","na - school attendance status"
"1252","hv129_09","na - school attendance status"
"1253","hv129_10","na - school attendance status"
"1254","hv129_11","na - school attendance status"
"1255","hv129_12","na - school attendance status"
"1256","hv129_13","na - school attendance status"
"1257","hv129_14","na - school attendance status"
"1258","hv129_15","na - school attendance status"
"1259","hv129_16","na - school attendance status"
"1260","hv129_17","na - school attendance status"
"1261","hv129_18","na - school attendance status"
"1262","hv129_19","na - school attendance status"
"1263","hv129_20","na - school attendance status"
"1264","hv129_21","na - school attendance status"
"1265","hv129_22","na - school attendance status"
"1266","hv129_23","na - school attendance status"
"1267","hv129_24","na - school attendance status"
"1268","hv129_25","na - school attendance status"
"1269","hv129_26","na - school attendance status"
"1270","hv129_27","na - school attendance status"
"1271","hv129_28","na - school attendance status"
"1272","hv129_29","na - school attendance status"
"1273","hv129_30","na - school attendance status"
"1274","hv129_31","na - school attendance status"
"1275","hv129_32","na - school attendance status"
"1276","hv129_33","na - school attendance status"
"1277","hv129_34","na - school attendance status"
"1278","hv129_35","na - school attendance status"
"1279","hv140_01","member has a birth certificate"
"1280","hv140_02","member has a birth certificate"
"1281","hv140_03","member has a birth certificate"
"1282","hv140_04","member has a birth certificate"
"1283","hv140_05","member has a birth certificate"
"1284","hv140_06","member has a birth certificate"
"1285","hv140_07","member has a birth certificate"
"1286","hv140_08","member has a birth certificate"
"1287","hv140_09","member has a birth certificate"
"1288","hv140_10","member has a birth certificate"
"1289","hv140_11","member has a birth certificate"
"1290","hv140_12","member has a birth certificate"
"1291","hv140_13","member has a birth certificate"
"1292","hv140_14","member has a birth certificate"
"1293","hv140_15","member has a birth certificate"
"1294","hv140_16","member has a birth certificate"
"1295","hv140_17","member has a birth certificate"
"1296","hv140_18","member has a birth certificate"
"1297","hv140_19","member has a birth certificate"
"1298","hv140_20","member has a birth certificate"
"1299","hv140_21","member has a birth certificate"
"1300","hv140_22","member has a birth certificate"
"1301","hv140_23","member has a birth certificate"
"1302","hv140_24","member has a birth certificate"
"1303","hv140_25","member has a birth certificate"
"1304","hv140_26","member has a birth certificate"
"1305","hv140_27","member has a birth certificate"
"1306","hv140_28","member has a birth certificate"
"1307","hv140_29","member has a birth certificate"
"1308","hv140_30","member has a birth certificate"
"1309","hv140_31","member has a birth certificate"
"1310","hv140_32","member has a birth certificate"
"1311","hv140_33","member has a birth certificate"
"1312","hv140_34","member has a birth certificate"
"1313","hv140_35","member has a birth certificate"
"1314","idxh4_01","index to household schedule"
"1315","idxh4_02","index to household schedule"
"1316","idxh4_03","index to household schedule"
"1317","idxh4_04","index to household schedule"
"1318","idxh4_05","index to household schedule"
"1319","idxh4_06","index to household schedule"
"1320","idxh4_07","index to household schedule"
"1321","idxh4_08","index to household schedule"
"1322","idxh4_09","index to household schedule"
"1323","idxh4_10","index to household schedule"
"1324","idxh4_11","index to household schedule"
"1325","idxh4_12","index to household schedule"
"1326","idxh4_13","index to household schedule"
"1327","idxh4_14","index to household schedule"
"1328","idxh4_15","index to household schedule"
"1329","idxh4_16","index to household schedule"
"1330","idxh4_17","index to household schedule"
"1331","idxh4_18","index to household schedule"
"1332","idxh4_19","index to household schedule"
"1333","idxh4_20","index to household schedule"
"1334","idxh4_21","index to household schedule"
"1335","idxh4_22","index to household schedule"
"1336","idxh4_23","index to household schedule"
"1337","idxh4_24","index to household schedule"
"1338","idxh4_25","index to household schedule"
"1339","idxh4_26","index to household schedule"
"1340","idxh4_27","index to household schedule"
"1341","idxh4_28","index to household schedule"
"1342","idxh4_29","index to household schedule"
"1343","idxh4_30","index to household schedule"
"1344","idxh4_31","index to household schedule"
"1345","idxh4_32","index to household schedule"
"1346","idxh4_33","index to household schedule"
"1347","idxh4_34","index to household schedule"
"1348","idxh4_35","index to household schedule"
"1349","sh08_01","current marital status [age 13+]"
"1350","sh08_02","current marital status [age 13+]"
"1351","sh08_03","current marital status [age 13+]"
"1352","sh08_04","current marital status [age 13+]"
"1353","sh08_05","current marital status [age 13+]"
"1354","sh08_06","current marital status [age 13+]"
"1355","sh08_07","current marital status [age 13+]"
"1356","sh08_08","current marital status [age 13+]"
"1357","sh08_09","current marital status [age 13+]"
"1358","sh08_10","current marital status [age 13+]"
"1359","sh08_11","current marital status [age 13+]"
"1360","sh08_12","current marital status [age 13+]"
"1361","sh08_13","current marital status [age 13+]"
"1362","sh08_14","current marital status [age 13+]"
"1363","sh08_15","current marital status [age 13+]"
"1364","sh08_16","current marital status [age 13+]"
"1365","sh08_17","current marital status [age 13+]"
"1366","sh08_18","current marital status [age 13+]"
"1367","sh08_19","current marital status [age 13+]"
"1368","sh08_20","current marital status [age 13+]"
"1369","sh08_21","current marital status [age 13+]"
"1370","sh08_22","current marital status [age 13+]"
"1371","sh08_23","current marital status [age 13+]"
"1372","sh08_24","current marital status [age 13+]"
"1373","sh08_25","current marital status [age 13+]"
"1374","sh08_26","current marital status [age 13+]"
"1375","sh08_27","current marital status [age 13+]"
"1376","sh08_28","current marital status [age 13+]"
"1377","sh08_29","current marital status [age 13+]"
"1378","sh08_30","current marital status [age 13+]"
"1379","sh08_31","current marital status [age 13+]"
"1380","sh08_32","current marital status [age 13+]"
"1381","sh08_33","current marital status [age 13+]"
"1382","sh08_34","current marital status [age 13+]"
"1383","sh08_35","current marital status [age 13+]"
"1384","sh09a_01","women age 15+"
"1385","sh09a_02","women age 15+"
"1386","sh09a_03","women age 15+"
"1387","sh09a_04","women age 15+"
"1388","sh09a_05","women age 15+"
"1389","sh09a_06","women age 15+"
"1390","sh09a_07","women age 15+"
"1391","sh09a_08","women age 15+"
"1392","sh09a_09","women age 15+"
"1393","sh09a_10","women age 15+"
"1394","sh09a_11","women age 15+"
"1395","sh09a_12","women age 15+"
"1396","sh09a_13","women age 15+"
"1397","sh09a_14","women age 15+"
"1398","sh09a_15","women age 15+"
"1399","sh09a_16","women age 15+"
"1400","sh09a_17","women age 15+"
"1401","sh09a_18","women age 15+"
"1402","sh09a_19","women age 15+"
"1403","sh09a_20","women age 15+"
"1404","sh09a_21","women age 15+"
"1405","sh09a_22","women age 15+"
"1406","sh09a_23","women age 15+"
"1407","sh09a_24","women age 15+"
"1408","sh09a_25","women age 15+"
"1409","sh09a_26","women age 15+"
"1410","sh09a_27","women age 15+"
"1411","sh09a_28","women age 15+"
"1412","sh09a_29","women age 15+"
"1413","sh09a_30","women age 15+"
"1414","sh09a_31","women age 15+"
"1415","sh09a_32","women age 15+"
"1416","sh09a_33","women age 15+"
"1417","sh09a_34","women age 15+"
"1418","sh09a_35","women age 15+"
"1419","sh10a_01","men age 15+"
"1420","sh10a_02","men age 15+"
"1421","sh10a_03","men age 15+"
"1422","sh10a_04","men age 15+"
"1423","sh10a_05","men age 15+"
"1424","sh10a_06","men age 15+"
"1425","sh10a_07","men age 15+"
"1426","sh10a_08","men age 15+"
"1427","sh10a_09","men age 15+"
"1428","sh10a_10","men age 15+"
"1429","sh10a_11","men age 15+"
"1430","sh10a_12","men age 15+"
"1431","sh10a_13","men age 15+"
"1432","sh10a_14","men age 15+"
"1433","sh10a_15","men age 15+"
"1434","sh10a_16","men age 15+"
"1435","sh10a_17","men age 15+"
"1436","sh10a_18","men age 15+"
"1437","sh10a_19","men age 15+"
"1438","sh10a_20","men age 15+"
"1439","sh10a_21","men age 15+"
"1440","sh10a_22","men age 15+"
"1441","sh10a_23","men age 15+"
"1442","sh10a_24","men age 15+"
"1443","sh10a_25","men age 15+"
"1444","sh10a_26","men age 15+"
"1445","sh10a_27","men age 15+"
"1446","sh10a_28","men age 15+"
"1447","sh10a_29","men age 15+"
"1448","sh10a_30","men age 15+"
"1449","sh10a_31","men age 15+"
"1450","sh10a_32","men age 15+"
"1451","sh10a_33","men age 15+"
"1452","sh10a_34","men age 15+"
"1453","sh10a_35","men age 15+"
"1454","sh17_01","currently attending preschool"
"1455","sh17_02","currently attending preschool"
"1456","sh17_03","currently attending preschool"
"1457","sh17_04","currently attending preschool"
"1458","sh17_05","currently attending preschool"
"1459","sh17_06","currently attending preschool"
"1460","sh17_07","currently attending preschool"
"1461","sh17_08","currently attending preschool"
"1462","sh17_09","currently attending preschool"
"1463","sh17_10","currently attending preschool"
"1464","sh17_11","currently attending preschool"
"1465","sh17_12","currently attending preschool"
"1466","sh17_13","currently attending preschool"
"1467","sh17_14","currently attending preschool"
"1468","sh17_15","currently attending preschool"
"1469","sh17_16","currently attending preschool"
"1470","sh17_17","currently attending preschool"
"1471","sh17_18","currently attending preschool"
"1472","sh17_19","currently attending preschool"
"1473","sh17_20","currently attending preschool"
"1474","sh17_21","currently attending preschool"
"1475","sh17_22","currently attending preschool"
"1476","sh17_23","currently attending preschool"
"1477","sh17_24","currently attending preschool"
"1478","sh17_25","currently attending preschool"
"1479","sh17_26","currently attending preschool"
"1480","sh17_27","currently attending preschool"
"1481","sh17_28","currently attending preschool"
"1482","sh17_29","currently attending preschool"
"1483","sh17_30","currently attending preschool"
"1484","sh17_31","currently attending preschool"
"1485","sh17_32","currently attending preschool"
"1486","sh17_33","currently attending preschool"
"1487","sh17_34","currently attending preschool"
"1488","sh17_35","currently attending preschool"
"1489","sh18_01","type of preschool"
"1490","sh18_02","type of preschool"
"1491","sh18_03","type of preschool"
"1492","sh18_04","type of preschool"
"1493","sh18_05","type of preschool"
"1494","sh18_06","type of preschool"
"1495","sh18_07","type of preschool"
"1496","sh18_08","type of preschool"
"1497","sh18_09","type of preschool"
"1498","sh18_10","type of preschool"
"1499","sh18_11","type of preschool"
"1500","sh18_12","type of preschool"
"1501","sh18_13","type of preschool"
"1502","sh18_14","type of preschool"
"1503","sh18_15","type of preschool"
"1504","sh18_16","type of preschool"
"1505","sh18_17","type of preschool"
"1506","sh18_18","type of preschool"
"1507","sh18_19","type of preschool"
"1508","sh18_20","type of preschool"
"1509","sh18_21","type of preschool"
"1510","sh18_22","type of preschool"
"1511","sh18_23","type of preschool"
"1512","sh18_24","type of preschool"
"1513","sh18_25","type of preschool"
"1514","sh18_26","type of preschool"
"1515","sh18_27","type of preschool"
"1516","sh18_28","type of preschool"
"1517","sh18_29","type of preschool"
"1518","sh18_30","type of preschool"
"1519","sh18_31","type of preschool"
"1520","sh18_32","type of preschool"
"1521","sh18_33","type of preschool"
"1522","sh18_34","type of preschool"
"1523","sh18_35","type of preschool"
"1524","sh20_01","highest grade completed"
"1525","sh20_02","highest grade completed"
"1526","sh20_03","highest grade completed"
"1527","sh20_04","highest grade completed"
"1528","sh20_05","highest grade completed"
"1529","sh20_06","highest grade completed"
"1530","sh20_07","highest grade completed"
"1531","sh20_08","highest grade completed"
"1532","sh20_09","highest grade completed"
"1533","sh20_10","highest grade completed"
"1534","sh20_11","highest grade completed"
"1535","sh20_12","highest grade completed"
"1536","sh20_13","highest grade completed"
"1537","sh20_14","highest grade completed"
"1538","sh20_15","highest grade completed"
"1539","sh20_16","highest grade completed"
"1540","sh20_17","highest grade completed"
"1541","sh20_18","highest grade completed"
"1542","sh20_19","highest grade completed"
"1543","sh20_20","highest grade completed"
"1544","sh20_21","highest grade completed"
"1545","sh20_22","highest grade completed"
"1546","sh20_23","highest grade completed"
"1547","sh20_24","highest grade completed"
"1548","sh20_25","highest grade completed"
"1549","sh20_26","highest grade completed"
"1550","sh20_27","highest grade completed"
"1551","sh20_28","highest grade completed"
"1552","sh20_29","highest grade completed"
"1553","sh20_30","highest grade completed"
"1554","sh20_31","highest grade completed"
"1555","sh20_32","highest grade completed"
"1556","sh20_33","highest grade completed"
"1557","sh20_34","highest grade completed"
"1558","sh20_35","highest grade completed"
"1559","sh23_01","main reason is not attending school"
"1560","sh23_02","main reason is not attending school"
"1561","sh23_03","main reason is not attending school"
"1562","sh23_04","main reason is not attending school"
"1563","sh23_05","main reason is not attending school"
"1564","sh23_06","main reason is not attending school"
"1565","sh23_07","main reason is not attending school"
"1566","sh23_08","main reason is not attending school"
"1567","sh23_09","main reason is not attending school"
"1568","sh23_10","main reason is not attending school"
"1569","sh23_11","main reason is not attending school"
"1570","sh23_12","main reason is not attending school"
"1571","sh23_13","main reason is not attending school"
"1572","sh23_14","main reason is not attending school"
"1573","sh23_15","main reason is not attending school"
"1574","sh23_16","main reason is not attending school"
"1575","sh23_17","main reason is not attending school"
"1576","sh23_18","main reason is not attending school"
"1577","sh23_19","main reason is not attending school"
"1578","sh23_20","main reason is not attending school"
"1579","sh23_21","main reason is not attending school"
"1580","sh23_22","main reason is not attending school"
"1581","sh23_23","main reason is not attending school"
"1582","sh23_24","main reason is not attending school"
"1583","sh23_25","main reason is not attending school"
"1584","sh23_26","main reason is not attending school"
"1585","sh23_27","main reason is not attending school"
"1586","sh23_28","main reason is not attending school"
"1587","sh23_29","main reason is not attending school"
"1588","sh23_30","main reason is not attending school"
"1589","sh23_31","main reason is not attending school"
"1590","sh23_32","main reason is not attending school"
"1591","sh23_33","main reason is not attending school"
"1592","sh23_34","main reason is not attending school"
"1593","sh23_35","main reason is not attending school"
"1594","sh24_01","aadhaar card or aadhaar number"
"1595","sh24_02","aadhaar card or aadhaar number"
"1596","sh24_03","aadhaar card or aadhaar number"
"1597","sh24_04","aadhaar card or aadhaar number"
"1598","sh24_05","aadhaar card or aadhaar number"
"1599","sh24_06","aadhaar card or aadhaar number"
"1600","sh24_07","aadhaar card or aadhaar number"
"1601","sh24_08","aadhaar card or aadhaar number"
"1602","sh24_09","aadhaar card or aadhaar number"
"1603","sh24_10","aadhaar card or aadhaar number"
"1604","sh24_11","aadhaar card or aadhaar number"
"1605","sh24_12","aadhaar card or aadhaar number"
"1606","sh24_13","aadhaar card or aadhaar number"
"1607","sh24_14","aadhaar card or aadhaar number"
"1608","sh24_15","aadhaar card or aadhaar number"
"1609","sh24_16","aadhaar card or aadhaar number"
"1610","sh24_17","aadhaar card or aadhaar number"
"1611","sh24_18","aadhaar card or aadhaar number"
"1612","sh24_19","aadhaar card or aadhaar number"
"1613","sh24_20","aadhaar card or aadhaar number"
"1614","sh24_21","aadhaar card or aadhaar number"
"1615","sh24_22","aadhaar card or aadhaar number"
"1616","sh24_23","aadhaar card or aadhaar number"
"1617","sh24_24","aadhaar card or aadhaar number"
"1618","sh24_25","aadhaar card or aadhaar number"
"1619","sh24_26","aadhaar card or aadhaar number"
"1620","sh24_27","aadhaar card or aadhaar number"
"1621","sh24_28","aadhaar card or aadhaar number"
"1622","sh24_29","aadhaar card or aadhaar number"
"1623","sh24_30","aadhaar card or aadhaar number"
"1624","sh24_31","aadhaar card or aadhaar number"
"1625","sh24_32","aadhaar card or aadhaar number"
"1626","sh24_33","aadhaar card or aadhaar number"
"1627","sh24_34","aadhaar card or aadhaar number"
"1628","sh24_35","aadhaar card or aadhaar number"
"1629","sh25_01","smokes or uses tobacco"
"1630","sh25_02","smokes or uses tobacco"
"1631","sh25_03","smokes or uses tobacco"
"1632","sh25_04","smokes or uses tobacco"
"1633","sh25_05","smokes or uses tobacco"
"1634","sh25_06","smokes or uses tobacco"
"1635","sh25_07","smokes or uses tobacco"
"1636","sh25_08","smokes or uses tobacco"
"1637","sh25_09","smokes or uses tobacco"
"1638","sh25_10","smokes or uses tobacco"
"1639","sh25_11","smokes or uses tobacco"
"1640","sh25_12","smokes or uses tobacco"
"1641","sh25_13","smokes or uses tobacco"
"1642","sh25_14","smokes or uses tobacco"
"1643","sh25_15","smokes or uses tobacco"
"1644","sh25_16","smokes or uses tobacco"
"1645","sh25_17","smokes or uses tobacco"
"1646","sh25_18","smokes or uses tobacco"
"1647","sh25_19","smokes or uses tobacco"
"1648","sh25_20","smokes or uses tobacco"
"1649","sh25_21","smokes or uses tobacco"
"1650","sh25_22","smokes or uses tobacco"
"1651","sh25_23","smokes or uses tobacco"
"1652","sh25_24","smokes or uses tobacco"
"1653","sh25_25","smokes or uses tobacco"
"1654","sh25_26","smokes or uses tobacco"
"1655","sh25_27","smokes or uses tobacco"
"1656","sh25_28","smokes or uses tobacco"
"1657","sh25_29","smokes or uses tobacco"
"1658","sh25_30","smokes or uses tobacco"
"1659","sh25_31","smokes or uses tobacco"
"1660","sh25_32","smokes or uses tobacco"
"1661","sh25_33","smokes or uses tobacco"
"1662","sh25_34","smokes or uses tobacco"
"1663","sh25_35","smokes or uses tobacco"
"1664","sh26_01","drinks alcohol"
"1665","sh26_02","drinks alcohol"
"1666","sh26_03","drinks alcohol"
"1667","sh26_04","drinks alcohol"
"1668","sh26_05","drinks alcohol"
"1669","sh26_06","drinks alcohol"
"1670","sh26_07","drinks alcohol"
"1671","sh26_08","drinks alcohol"
"1672","sh26_09","drinks alcohol"
"1673","sh26_10","drinks alcohol"
"1674","sh26_11","drinks alcohol"
"1675","sh26_12","drinks alcohol"
"1676","sh26_13","drinks alcohol"
"1677","sh26_14","drinks alcohol"
"1678","sh26_15","drinks alcohol"
"1679","sh26_16","drinks alcohol"
"1680","sh26_17","drinks alcohol"
"1681","sh26_18","drinks alcohol"
"1682","sh26_19","drinks alcohol"
"1683","sh26_20","drinks alcohol"
"1684","sh26_21","drinks alcohol"
"1685","sh26_22","drinks alcohol"
"1686","sh26_23","drinks alcohol"
"1687","sh26_24","drinks alcohol"
"1688","sh26_25","drinks alcohol"
"1689","sh26_26","drinks alcohol"
"1690","sh26_27","drinks alcohol"
"1691","sh26_28","drinks alcohol"
"1692","sh26_29","drinks alcohol"
"1693","sh26_30","drinks alcohol"
"1694","sh26_31","drinks alcohol"
"1695","sh26_32","drinks alcohol"
"1696","sh26_33","drinks alcohol"
"1697","sh26_34","drinks alcohol"
"1698","sh26_35","drinks alcohol"
"1699","sh29_01","suffers from tb"
"1700","sh29_02","suffers from tb"
"1701","sh29_03","suffers from tb"
"1702","sh29_04","suffers from tb"
"1703","sh29_05","suffers from tb"
"1704","sh29_06","suffers from tb"
"1705","sh29_07","suffers from tb"
"1706","sh29_08","suffers from tb"
"1707","sh29_09","suffers from tb"
"1708","sh29_10","suffers from tb"
"1709","sh29_11","suffers from tb"
"1710","sh29_12","suffers from tb"
"1711","sh29_13","suffers from tb"
"1712","sh29_14","suffers from tb"
"1713","sh29_15","suffers from tb"
"1714","sh29_16","suffers from tb"
"1715","sh29_17","suffers from tb"
"1716","sh29_18","suffers from tb"
"1717","sh29_19","suffers from tb"
"1718","sh29_20","suffers from tb"
"1719","sh29_21","suffers from tb"
"1720","sh29_22","suffers from tb"
"1721","sh29_23","suffers from tb"
"1722","sh29_24","suffers from tb"
"1723","sh29_25","suffers from tb"
"1724","sh29_26","suffers from tb"
"1725","sh29_27","suffers from tb"
"1726","sh29_28","suffers from tb"
"1727","sh29_29","suffers from tb"
"1728","sh29_30","suffers from tb"
"1729","sh29_31","suffers from tb"
"1730","sh29_32","suffers from tb"
"1731","sh29_33","suffers from tb"
"1732","sh29_34","suffers from tb"
"1733","sh29_35","suffers from tb"
"1734","sh29aa_01","location where treated for tb"
"1735","sh29aa_02","location where treated for tb"
"1736","sh29aa_03","location where treated for tb"
"1737","sh29aa_04","location where treated for tb"
"1738","sh29aa_05","location where treated for tb"
"1739","sh29aa_06","location where treated for tb"
"1740","sh29aa_07","location where treated for tb"
"1741","sh29aa_08","location where treated for tb"
"1742","sh29aa_09","location where treated for tb"
"1743","sh29aa_10","location where treated for tb"
"1744","sh29aa_11","location where treated for tb"
"1745","sh29aa_12","location where treated for tb"
"1746","sh29aa_13","location where treated for tb"
"1747","sh29aa_14","location where treated for tb"
"1748","sh29aa_15","location where treated for tb"
"1749","sh29aa_16","location where treated for tb"
"1750","sh29aa_17","location where treated for tb"
"1751","sh29aa_18","location where treated for tb"
"1752","sh29aa_19","location where treated for tb"
"1753","sh29aa_20","location where treated for tb"
"1754","sh29aa_21","location where treated for tb"
"1755","sh29aa_22","location where treated for tb"
"1756","sh29aa_23","location where treated for tb"
"1757","sh29aa_24","location where treated for tb"
"1758","sh29aa_25","location where treated for tb"
"1759","sh29aa_26","location where treated for tb"
"1760","sh29aa_27","location where treated for tb"
"1761","sh29aa_28","location where treated for tb"
"1762","sh29aa_29","location where treated for tb"
"1763","sh29aa_30","location where treated for tb"
"1764","sh29aa_31","location where treated for tb"
"1765","sh29aa_32","location where treated for tb"
"1766","sh29aa_33","location where treated for tb"
"1767","sh29aa_34","location where treated for tb"
"1768","sh29aa_35","location where treated for tb"
"1769","shb14a_01","30 minutes prior to bp measure: eaten"
"1770","shb14a_02","30 minutes prior to bp measure: eaten"
"1771","shb14a_03","30 minutes prior to bp measure: eaten"
"1772","shb14a_04","30 minutes prior to bp measure: eaten"
"1773","shb14a_05","30 minutes prior to bp measure: eaten"
"1774","shb14a_06","30 minutes prior to bp measure: eaten"
"1775","shb14a_07","30 minutes prior to bp measure: eaten"
"1776","shb14a_08","30 minutes prior to bp measure: eaten"
"1777","shb14a_09","30 minutes prior to bp measure: eaten"
"1778","shb14a_10","30 minutes prior to bp measure: eaten"
"1779","shb14a_11","30 minutes prior to bp measure: eaten"
"1780","shb14a_12","30 minutes prior to bp measure: eaten"
"1781","shb14a_13","30 minutes prior to bp measure: eaten"
"1782","shb14a_14","30 minutes prior to bp measure: eaten"
"1783","shb14a_15","30 minutes prior to bp measure: eaten"
"1784","shb14a_16","30 minutes prior to bp measure: eaten"
"1785","shb14a_17","30 minutes prior to bp measure: eaten"
"1786","shb14a_18","30 minutes prior to bp measure: eaten"
"1787","shb14a_19","30 minutes prior to bp measure: eaten"
"1788","shb14a_20","30 minutes prior to bp measure: eaten"
"1789","shb14a_21","30 minutes prior to bp measure: eaten"
"1790","shb14a_22","30 minutes prior to bp measure: eaten"
"1791","shb14a_23","30 minutes prior to bp measure: eaten"
"1792","shb14a_24","30 minutes prior to bp measure: eaten"
"1793","shb14a_25","30 minutes prior to bp measure: eaten"
"1794","shb14a_26","30 minutes prior to bp measure: eaten"
"1795","shb14a_27","30 minutes prior to bp measure: eaten"
"1796","shb14a_28","30 minutes prior to bp measure: eaten"
"1797","shb14a_29","30 minutes prior to bp measure: eaten"
"1798","shb14a_30","30 minutes prior to bp measure: eaten"
"1799","shb14a_31","30 minutes prior to bp measure: eaten"
"1800","shb14a_32","30 minutes prior to bp measure: eaten"
"1801","shb14a_33","30 minutes prior to bp measure: eaten"
"1802","shb14a_34","30 minutes prior to bp measure: eaten"
"1803","shb14a_35","30 minutes prior to bp measure: eaten"
"1804","shb14b_01","30 minutes prior to bp measure: had coffee, tea"
"1805","shb14b_02","30 minutes prior to bp measure: had coffee, tea"
"1806","shb14b_03","30 minutes prior to bp measure: had coffee, tea"
"1807","shb14b_04","30 minutes prior to bp measure: had coffee, tea"
"1808","shb14b_05","30 minutes prior to bp measure: had coffee, tea"
"1809","shb14b_06","30 minutes prior to bp measure: had coffee, tea"
"1810","shb14b_07","30 minutes prior to bp measure: had coffee, tea"
"1811","shb14b_08","30 minutes prior to bp measure: had coffee, tea"
"1812","shb14b_09","30 minutes prior to bp measure: had coffee, tea"
"1813","shb14b_10","30 minutes prior to bp measure: had coffee, tea"
"1814","shb14b_11","30 minutes prior to bp measure: had coffee, tea"
"1815","shb14b_12","30 minutes prior to bp measure: had coffee, tea"
"1816","shb14b_13","30 minutes prior to bp measure: had coffee, tea"
"1817","shb14b_14","30 minutes prior to bp measure: had coffee, tea"
"1818","shb14b_15","30 minutes prior to bp measure: had coffee, tea"
"1819","shb14b_16","30 minutes prior to bp measure: had coffee, tea"
"1820","shb14b_17","30 minutes prior to bp measure: had coffee, tea"
"1821","shb14b_18","30 minutes prior to bp measure: had coffee, tea"
"1822","shb14b_19","30 minutes prior to bp measure: had coffee, tea"
"1823","shb14b_20","30 minutes prior to bp measure: had coffee, tea"
"1824","shb14b_21","30 minutes prior to bp measure: had coffee, tea"
"1825","shb14b_22","30 minutes prior to bp measure: had coffee, tea"
"1826","shb14b_23","30 minutes prior to bp measure: had coffee, tea"
"1827","shb14b_24","30 minutes prior to bp measure: had coffee, tea"
"1828","shb14b_25","30 minutes prior to bp measure: had coffee, tea"
"1829","shb14b_26","30 minutes prior to bp measure: had coffee, tea"
"1830","shb14b_27","30 minutes prior to bp measure: had coffee, tea"
"1831","shb14b_28","30 minutes prior to bp measure: had coffee, tea"
"1832","shb14b_29","30 minutes prior to bp measure: had coffee, tea"
"1833","shb14b_30","30 minutes prior to bp measure: had coffee, tea"
"1834","shb14b_31","30 minutes prior to bp measure: had coffee, tea"
"1835","shb14b_32","30 minutes prior to bp measure: had coffee, tea"
"1836","shb14b_33","30 minutes prior to bp measure: had coffee, tea"
"1837","shb14b_34","30 minutes prior to bp measure: had coffee, tea"
"1838","shb14b_35","30 minutes prior to bp measure: had coffee, tea"
"1839","shb14c_01","30 minutes prior to bp measure: smoked any tobacco product"
"1840","shb14c_02","30 minutes prior to bp measure: smoked any tobacco product"
"1841","shb14c_03","30 minutes prior to bp measure: smoked any tobacco product"
"1842","shb14c_04","30 minutes prior to bp measure: smoked any tobacco product"
"1843","shb14c_05","30 minutes prior to bp measure: smoked any tobacco product"
"1844","shb14c_06","30 minutes prior to bp measure: smoked any tobacco product"
"1845","shb14c_07","30 minutes prior to bp measure: smoked any tobacco product"
"1846","shb14c_08","30 minutes prior to bp measure: smoked any tobacco product"
"1847","shb14c_09","30 minutes prior to bp measure: smoked any tobacco product"
"1848","shb14c_10","30 minutes prior to bp measure: smoked any tobacco product"
"1849","shb14c_11","30 minutes prior to bp measure: smoked any tobacco product"
"1850","shb14c_12","30 minutes prior to bp measure: smoked any tobacco product"
"1851","shb14c_13","30 minutes prior to bp measure: smoked any tobacco product"
"1852","shb14c_14","30 minutes prior to bp measure: smoked any tobacco product"
"1853","shb14c_15","30 minutes prior to bp measure: smoked any tobacco product"
"1854","shb14c_16","30 minutes prior to bp measure: smoked any tobacco product"
"1855","shb14c_17","30 minutes prior to bp measure: smoked any tobacco product"
"1856","shb14c_18","30 minutes prior to bp measure: smoked any tobacco product"
"1857","shb14c_19","30 minutes prior to bp measure: smoked any tobacco product"
"1858","shb14c_20","30 minutes prior to bp measure: smoked any tobacco product"
"1859","shb14c_21","30 minutes prior to bp measure: smoked any tobacco product"
"1860","shb14c_22","30 minutes prior to bp measure: smoked any tobacco product"
"1861","shb14c_23","30 minutes prior to bp measure: smoked any tobacco product"
"1862","shb14c_24","30 minutes prior to bp measure: smoked any tobacco product"
"1863","shb14c_25","30 minutes prior to bp measure: smoked any tobacco product"
"1864","shb14c_26","30 minutes prior to bp measure: smoked any tobacco product"
"1865","shb14c_27","30 minutes prior to bp measure: smoked any tobacco product"
"1866","shb14c_28","30 minutes prior to bp measure: smoked any tobacco product"
